estimator_name,budget_fraction,seed,detection_rate,false_positive_rate,threshold,target_score,median_benign_score,median_malicious_score
anomaly_within,0.02,4,1.0,0.05,17.16259530256576,149.38135518562083,8.362042232584788,149.71126877003255
anomaly_within,0.02,5,1.0,0.05,17.047859623767618,140.73853449755796,8.02794923298815,140.8677030186557
anomaly_within,0.02,6,1.0,0.05,17.37115378519143,145.53996875244633,8.153485674287136,145.36319531675701
anomaly_within,0.02,7,1.0,0.05,18.92245425001903,141.57182392759037,7.967677993477791,141.52428494330107
anomaly_within,0.02,8,1.0,0.05,18.287399585381134,147.77699498781675,8.301728377980387,147.9812248878801
anomaly_within,0.02,9,1.0,0.05,17.09739720435199,144.63607566557744,8.300276659213068,145.0515661452344
anomaly_within,0.05,0,1.0,0.05,15.769900390349537,138.75088530677715,7.861216322595307,138.95431376210573
anomaly_within,0.05,1,1.0,0.05,16.48647763608257,139.14832935881395,8.030784080261132,139.12784446580704
anomaly_within,0.05,2,1.0,0.05,18.074323016888567,143.54941189958714,8.67559502507749,143.59689653569092
anomaly_within,0.05,3,1.0,0.05,17.312056614663224,139.2778479351714,8.444683385124055,139.28837856162397
anomaly_within,0.05,4,1.0,0.05,16.76904131305668,145.38649879407302,8.134578454653177,145.68351506490762
anomaly_within,0.05,5,1.0,0.05,16.55146238596453,136.2223287199903,7.861303230930152,136.35003291793834
anomaly_within,0.05,6,1.0,0.05,16.791814598832257,140.7156296120061,7.919935421005556,140.54308175272502
anomaly_within,0.05,7,1.0,0.05,18.145039131789527,136.51567665502694,7.709373727025445,136.49565461768572
anomaly_within,0.05,8,1.0,0.05,17.89047548435721,143.18415151004257,8.05272440413614,143.42761455125657
anomaly_within,0.05,9,1.0,0.05,16.712100485086484,139.7087961217278,8.10833386038627,140.09906138100678
anomaly_within,0.08,0,1.0,0.05,15.401147623211218,134.61932876433661,7.647973124453868,134.8098629023111
anomaly_within,0.08,1,1.0,0.05,16.038932764913014,135.01128072839168,7.787148386554234,134.96870054847534
anomaly_within,0.08,2,1.0,0.05,17.637674161796287,138.8858459770673,8.374091208305025,138.87766915489817
anomaly_within,0.08,3,1.0,0.05,16.768491706936057,134.85830140485757,8.132376494857985,134.8630761720807
anomaly_within,0.08,4,1.0,0.05,16.127476369223437,140.5390625173331,7.887328778677079,140.81623176071827
anomaly_within,0.08,5,1.0,0.05,16.022341437876623,132.3396837405005,7.576361841310915,132.51337350637692
anomaly_within,0.08,6,1.0,0.05,16.2346100909335,136.89894741158545,7.656170626954003,136.74454342275902
anomaly_within,0.08,7,1.0,0.05,17.55649031625288,132.3069327889067,7.4305622220831555,132.2703974713529
anomaly_within,0.08,8,1.0,0.05,17.243484647384665,139.12824452738673,7.816126518224112,139.39330043783332
anomaly_within,0.08,9,1.0,0.05,16.265688460224958,134.75557315935725,7.812143540017415,135.08724238186537
anomaly_within,0.1,0,1.0,0.05,15.0937933232502,131.46455675710857,7.46440937082226,131.6463216293903
anomaly_within,0.1,1,1.0,0.05,15.720982614275028,132.4156911296779,7.607312849108246,132.38379107600576
anomaly_within,0.1,2,1.0,0.05,16.910178319209173,134.53800796994494,8.108540223877421,134.5686194979948
anomaly_within,0.1,3,1.0,0.05,16.433707248201813,131.80573074978858,7.9516523051957915,131.80953480255585
anomaly_within,0.1,4,1.0,0.05,15.709971951857947,137.19282035592232,7.678591779705008,137.46328795549695
anomaly_within,0.1,5,1.0,0.05,15.740813438314785,130.23465102108506,7.458617841435631,130.3964645626043
anomaly_within,0.1,6,1.0,0.05,15.959081206353249,134.52669233431357,7.466155435590668,134.37042820321605
anomaly_within,0.1,7,1.0,0.05,17.300421985936968,129.68334364040348,7.270620617736386,129.6380910666885
anomaly_within,0.1,8,1.0,0.05,16.924305936692452,136.67367100486774,7.6027593636257285,136.92237928020728
anomaly_within,0.1,9,1.0,0.05,15.74362518999731,130.84530055179084,7.594052252014482,131.15655143277888
