estimator_name,budget_fraction,seed,detection_rate,false_positive_rate,threshold,target_score,median_benign_score,median_malicious_score
naive,0.1,8,1.0,0.05,7.733657788120023,45.10550235870044,3.7117683370455494,45.20474757079225
naive,0.1,9,1.0,0.05,7.45704794257184,44.59217257854701,3.476983717837156,44.732606474097736
naive,0.12,0,1.0,0.05,6.983367387032833,38.82745196843017,3.4502907197704964,38.89502983523201
naive,0.12,1,1.0,0.05,7.359437500508471,38.81632766445408,3.5798787438023654,38.80275147480966
naive,0.12,2,1.0,0.05,7.7540632922690484,38.9518680247773,3.8107093117305553,38.96973425471479
naive,0.12,3,1.0,0.05,7.831002163809075,38.62046662490495,3.8574831666042506,38.62737260840901
naive,0.12,4,1.0,0.05,7.264927361109042,39.20572887515974,3.6260706192182726,39.31033587026772
naive,0.12,5,1.0,0.05,7.543483330424988,38.459252639661194,3.5240988310604044,38.549624728513486
naive,0.12,6,1.0,0.05,7.126251994937792,38.903334896415885,3.569374850563355,38.85863897859427
naive,0.12,7,1.0,0.05,7.901184019170229,38.62867365808788,3.4813494921181958,38.608633472725856
naive,0.12,8,1.0,0.05,7.433200020717058,39.09725036191557,3.585252824435724,39.186828181722106
naive,0.12,9,1.0,0.05,7.181374550618826,38.814649261775514,3.3344564966167436,38.9397289299249
naive,0.15,0,1.0,0.05,6.950283216918229,32.13037107841053,3.476462727648861,32.18725863399898
naive,0.15,1,1.0,0.05,7.210184339521683,32.17904407914375,3.4636317136522274,32.167045142141575
naive,0.15,2,1.0,0.05,7.482823316696168,32.28600567880167,3.8404801172136684,32.302614337245764
naive,0.15,3,1.0,0.05,7.651457229104175,31.983776910509054,3.804807023751031,31.991261717864724
naive,0.15,4,1.0,0.05,7.139085886676309,32.430077114387686,3.567998265058221,32.518605929062964
naive,0.15,5,1.0,0.05,7.217064248291779,31.942840660357973,3.464786743362856,32.02481822206404
naive,0.15,6,1.0,0.05,6.912755423216886,32.31439094986232,3.517846576674869,32.27670928561507
naive,0.15,7,1.0,0.05,7.5728927883638155,32.01221144053774,3.3407659904791074,31.994445268056218
naive,0.15,8,1.0,0.05,7.234711761799307,32.41003275458464,3.5991744482021804,32.48864285075273
naive,0.15,9,1.0,0.05,6.896777352296725,32.17717763443302,3.2706948495608525,32.28466227971027
naive,0.18,0,1.0,0.05,7.027626839605995,27.133785670063805,3.533322460432612,27.18546039349112
naive,0.18,1,1.0,0.05,7.2574580442036964,27.18696531384395,3.55340625105908,27.178533752850225
naive,0.18,2,1.0,0.05,7.379831608281068,27.29094635191228,3.9156694663368112,27.30525168882133
naive,0.18,3,1.0,0.05,7.422009080701399,26.99792690124368,3.8186321552450675,27.004416992242238
naive,0.18,4,1.0,0.05,7.250276839137871,27.38506848018308,3.6426362548799203,27.4582660880122
naive,0.18,5,1.0,0.05,7.240912912514362,27.008540252329,3.531952103957889,27.08778466656679
naive,0.18,6,1.0,0.05,6.861407906678165,27.303179307661317,3.57275035826998,27.273656004299827
naive,0.18,7,1.0,0.05,7.2481542155124385,27.003840356878996,3.4535245567029627,26.9894032344114
naive,0.18,8,1.0,0.05,7.04751697264923,27.356992821667593,3.632178049585801,27.425828319532652
naive,0.18,9,1.0,0.05,6.791744942495472,27.18060393677464,3.281081321998095,27.27488374842188
naive,0.2,0,1.0,0.05,7.10387124319803,24.449616303267437,3.6405458006070806,24.49709896342167
naive,0.2,1,1.0,0.05,7.279475348359558,24.450433094356548,3.6362014315935136,24.443413495594957
naive,0.2,2,1.0,0.05,7.3341924769062,24.542885483849968,4.007440548767075,24.55631414098434
